Action,Prefix,Two-letter ISO Country Code,Description,Country Subdivision
,,,,
add,9376,AF,Areeba Mobile,Afghanistan
,,,,
add,9377,AF,Areeba Mobile,Afghanistan
,,,,
add,9374,AF,At Mobile,Afghanistan
,,,,
add,9375,AF,At Mobile,Afghanistan
,,,,
add,9370,AF,Awcc Mobile,Afghanistan
,,,,
add,9371,AF,Awcc Mobile,Afghanistan
,,,,
add,9378,AF,Etisalat Mobile,Afghanistan
,,,,
add,93,AF,Other,Afghanistan
,,,,
add,9372,AF,Roshan Mobile,Afghanistan
,,,,
add,9379,AF,Roshan Mobile,Afghanistan
,,,,
add,35521153,AL,Amc Fixed,Albania
,,,,
add,35521160,AL,Amc Fixed,Albania
,,,,
add,35521161,AL,Amc Fixed,Albania
,,,,
add,35521250,AL,Amc Fixed,Albania
,,,,
add,35521262,AL,Amc Fixed,Albania
,,,,
add,35521340,AL,Amc Fixed,Albania
,,,,
add,35521362,AL,Amc Fixed,Albania
,,,,
add,35521440,AL,Amc Fixed,Albania
,,,,
add,35521460,AL,Amc Fixed,Albania
,,,,
add,35521540,AL,Amc Fixed,Albania
,,,,
add,35521541,AL,Amc Fixed,Albania
,,,,
add,35521542,AL,Amc Fixed,Albania
,,,,
add,35521543,AL,Amc Fixed,Albania
,,,,
add,35521544,AL,Amc Fixed,Albania
,,,,
add,35521545,AL,Amc Fixed,Albania
,,,,
add,3552155,AL,Amc Fixed,Albania
,,,,
add,35521650,AL,Amc Fixed,Albania
,,,,
add,35521651,AL,Amc Fixed,Albania
,,,,
add,35521662,AL,Amc Fixed,Albania
,,,,
add,35521740,AL,Amc Fixed,Albania
,,,,
add,35521741,AL,Amc Fixed,Albania
,,,,
add,35521762,AL,Amc Fixed,Albania
,,,,
add,35521844,AL,Amc Fixed,Albania
,,,,
add,3552185,AL,Amc Fixed,Albania
,,,,
add,35521940,AL,Amc Fixed,Albania
,,,,
add,35521962,AL,Amc Fixed,Albania
,,,,
add,3552253,AL,Amc Fixed,Albania
,,,,
add,3552254,AL,Amc Fixed,Albania
,,,,
add,3552280,AL,Amc Fixed,Albania
,,,,
add,3552440,AL,Amc Fixed,Albania
,,,,
add,35524620,AL,Amc Fixed,Albania
,,,,
add,35526142,AL,Amc Fixed,Albania
,,,,
add,35526160,AL,Amc Fixed,Albania
,,,,
add,35526250,AL,Amc Fixed,Albania
,,,,
add,35526293,AL,Amc Fixed,Albania
,,,,
add,35526323,AL,Amc Fixed,Albania
,,,,
add,35526350,AL,Amc Fixed,Albania
,,,,
add,35526363,AL,Amc Fixed,Albania
,,,,
add,35526373,AL,Amc Fixed,Albania
,,,,
add,35526383,AL,Amc Fixed,Albania
,,,,
add,35526450,AL,Amc Fixed,Albania
,,,,
add,35526490,AL,Amc Fixed,Albania
,,,,
add,35526523,AL,Amc Fixed,Albania
,,,,
add,35526563,AL,Amc Fixed,Albania
,,,,
add,35526650,AL,Amc Fixed,Albania
,,,,
add,35526673,AL,Amc Fixed,Albania
,,,,
add,35526723,AL,Amc Fixed,Albania
,,,,
add,35526770,AL,Amc Fixed,Albania
,,,,
add,35526840,AL,Amc Fixed,Albania
,,,,
add,35526890,AL,Amc Fixed,Albania
,,,,
add,35526920,AL,Amc Fixed,Albania
,,,,
add,35526950,AL,Amc Fixed,Albania
,,,,
add,35526970,AL,Amc Fixed,Albania
,,,,
add,35526990,AL,Amc Fixed,Albania
,,,,
add,35527023,AL,Amc Fixed,Albania
,,,,
add,35527043,AL,Amc Fixed,Albania
,,,,
